Job runs on node:
lrdn4987
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=5
EPOCHS=150
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
NO JAX
256

Epoch 1, 	Batch:0, 	Train Loss = 2.192004, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 2.912884, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 2.957585, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 2.954454, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 2.810975, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 2.703857, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 2.617631, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 2.417921, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 1.515809, 	Val Loss = 1.592664
Epoch 2, 	Batch:1, 	Train Loss = 1.480631, 	Val Loss = 1.592664
Epoch 2, 	Batch:2, 	Train Loss = 1.302288, 	Val Loss = 1.592664
Epoch 2, 	Batch:3, 	Train Loss = 1.361884, 	Val Loss = 1.592664
Epoch 2, 	Batch:4, 	Train Loss = 1.213767, 	Val Loss = 1.592664
Epoch 2, 	Batch:5, 	Train Loss = 1.210485, 	Val Loss = 1.592664
Epoch 2, 	Batch:6, 	Train Loss = 1.198348, 	Val Loss = 1.592664
Epoch 2, 	Batch:7, 	Train Loss = 1.167817, 	Val Loss = 1.592664
Epoch 3, 	Batch:0, 	Train Loss = 1.292987, 	Val Loss = 1.132062
Epoch 3, 	Batch:1, 	Train Loss = 1.239448, 	Val Loss = 1.132062
Epoch 3, 	Batch:2, 	Train Loss = 1.019900, 	Val Loss = 1.132062
Epoch 3, 	Batch:3, 	Train Loss = 1.067114, 	Val Loss = 1.132062
Epoch 3, 	Batch:4, 	Train Loss = 1.017947, 	Val Loss = 1.132062
Epoch 3, 	Batch:5, 	Train Loss = 1.042922, 	Val Loss = 1.132062
Epoch 3, 	Batch:6, 	Train Loss = 1.050678, 	Val Loss = 1.132062
Epoch 3, 	Batch:7, 	Train Loss = 0.988784, 	Val Loss = 1.132062
Epoch 4, 	Batch:0, 	Train Loss = 1.142422, 	Val Loss = 0.871802
Epoch 4, 	Batch:1, 	Train Loss = 0.897657, 	Val Loss = 0.871802
Epoch 4, 	Batch:2, 	Train Loss = 0.785662, 	Val Loss = 0.871802
Epoch 4, 	Batch:3, 	Train Loss = 0.795842, 	Val Loss = 0.871802
Epoch 4, 	Batch:4, 	Train Loss = 0.794374, 	Val Loss = 0.871802
Epoch 4, 	Batch:5, 	Train Loss = 0.837128, 	Val Loss = 0.871802
Epoch 4, 	Batch:6, 	Train Loss = 0.835538, 	Val Loss = 0.871802
Epoch 4, 	Batch:7, 	Train Loss = 0.809615, 	Val Loss = 0.871802
Epoch 5, 	Batch:0, 	Train Loss = 1.046608, 	Val Loss = 0.863588
Epoch 5, 	Batch:1, 	Train Loss = 0.998799, 	Val Loss = 0.863588
Epoch 5, 	Batch:2, 	Train Loss = 0.818988, 	Val Loss = 0.863588
Epoch 5, 	Batch:3, 	Train Loss = 0.822693, 	Val Loss = 0.863588
Epoch 5, 	Batch:4, 	Train Loss = 0.799279, 	Val Loss = 0.863588
Epoch 5, 	Batch:5, 	Train Loss = 0.827205, 	Val Loss = 0.863588
Epoch 5, 	Batch:6, 	Train Loss = 0.831407, 	Val Loss = 0.863588
Epoch 5, 	Batch:7, 	Train Loss = 0.800933, 	Val Loss = 0.863588
Epoch 6, 	Batch:0, 	Train Loss = 1.123959, 	Val Loss = 0.926272
Epoch 6, 	Batch:1, 	Train Loss = 1.033578, 	Val Loss = 0.926272
Epoch 6, 	Batch:2, 	Train Loss = 0.838845, 	Val Loss = 0.926272
Epoch 6, 	Batch:3, 	Train Loss = 0.893029, 	Val Loss = 0.926272
Epoch 6, 	Batch:4, 	Train Loss = 0.853229, 	Val Loss = 0.926272
Epoch 6, 	Batch:5, 	Train Loss = 0.853271, 	Val Loss = 0.926272
Epoch 6, 	Batch:6, 	Train Loss = 0.848995, 	Val Loss = 0.926272
Epoch 6, 	Batch:7, 	Train Loss = 0.816744, 	Val Loss = 0.926272
Epoch 7, 	Batch:0, 	Train Loss = 1.003234, 	Val Loss = 0.818994
Epoch 7, 	Batch:1, 	Train Loss = 0.948729, 	Val Loss = 0.818994
Epoch 7, 	Batch:2, 	Train Loss = 0.768433, 	Val Loss = 0.818994
Epoch 7, 	Batch:3, 	Train Loss = 0.769266, 	Val Loss = 0.818994
Epoch 7, 	Batch:4, 	Train Loss = 0.757713, 	Val Loss = 0.818994
Epoch 7, 	Batch:5, 	Train Loss = 0.783726, 	Val Loss = 0.818994
Epoch 7, 	Batch:6, 	Train Loss = 0.786882, 	Val Loss = 0.818994
Epoch 7, 	Batch:7, 	Train Loss = 0.760264, 	Val Loss = 0.818994
Epoch 8, 	Batch:0, 	Train Loss = 0.965231, 	Val Loss = 0.647025
Epoch 8, 	Batch:1, 	Train Loss = 0.912340, 	Val Loss = 0.647025
Epoch 8, 	Batch:2, 	Train Loss = 0.708649, 	Val Loss = 0.647025
Epoch 8, 	Batch:3, 	Train Loss = 0.762550, 	Val Loss = 0.647025
Epoch 8, 	Batch:4, 	Train Loss = 0.721098, 	Val Loss = 0.647025
Epoch 8, 	Batch:5, 	Train Loss = 0.754222, 	Val Loss = 0.647025
Epoch 8, 	Batch:6, 	Train Loss = 0.743624, 	Val Loss = 0.647025
